epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,19.1428,0.73477,3.23958,1.14599,0.00462,0.97597,0.2155,0.17239,0.42536,3.17369,0.90701,0.00108455,0.000361516,0.00108455,0.000361516,0.00108455,0.000361516,0.00108455,0.000361516
2,34.4843,0.67837,2.94345,1.11585,0.97629,0.02163,0.3329,0.27351,0.43574,2.80864,0.89435,0.00212309,0.000707698,0.00212309,0.000707698,0.00212309,0.000707698,0.00212309,0.000707698
3,48.3153,0.69709,2.4883,1.12369,0.5708,0.55834,0.52105,0.45756,0.47696,1.68759,0.93138,0.00308832,0.00102944,0.00308832,0.00102944,0.00308832,0.00102944,0.00308832,0.00102944
4,63.1918,0.71984,1.76156,1.13675,0.79786,0.66915,0.73304,0.62917,0.49739,1.10629,0.94384,0.00300303,0.00100101,0.00300303,0.00100101,0.00300303,0.00100101,0.00300303,0.00100101
5,77.0563,0.68912,1.28648,1.1218,0.86007,0.75876,0.85607,0.74139,0.48552,0.88965,0.93856,0.00289304,0.000964348,0.00289304,0.000964348,0.00289304,0.000964348,0.00289304,0.000964348
6,90.9171,0.65143,1.132,1.08841,0.61633,0.93057,0.8671,0.75766,0.49581,0.78528,0.93907,0.00278306,0.000927685,0.00278306,0.000927685,0.00278306,0.000927685,0.00278306,0.000927685
7,104.859,0.63274,1.00483,1.06663,0.73732,0.93866,0.86587,0.76361,0.45292,0.85742,0.90929,0.00267307,0.000891022,0.00267307,0.000891022,0.00267307,0.000891022,0.00267307,0.000891022
8,118.631,0.61176,0.94368,1.05315,0.78673,0.95995,0.88354,0.78494,0.44786,0.69197,0.90665,0.00256308,0.000854359,0.00256308,0.000854359,0.00256308,0.000854359,0.00256308,0.000854359
9,132.402,0.62501,0.91793,1.05282,0.88987,0.87187,0.9665,0.85785,0.45429,0.66473,0.90408,0.00245309,0.000817696,0.00245309,0.000817696,0.00245309,0.000817696,0.00245309,0.000817696
10,146.738,0.58429,0.86338,1.03702,0.94767,0.91589,0.98788,0.88715,0.47427,0.6114,0.92192,0.0023431,0.000781033,0.0023431,0.000781033,0.0023431,0.000781033,0.0023431,0.000781033
11,160.905,0.5588,0.82173,1.02369,0.9617,0.95286,0.98874,0.88222,0.45776,0.55456,0.91511,0.00223311,0.00074437,0.00223311,0.00074437,0.00223311,0.00074437,0.00223311,0.00074437
12,174.723,0.58877,0.80491,1.03143,0.9377,0.97045,0.98094,0.87942,0.44582,0.55767,0.90851,0.00212312,0.000707707,0.00212312,0.000707707,0.00212312,0.000707707,0.00212312,0.000707707
13,188.369,0.58669,0.7725,1.02573,0.92858,0.97622,0.97798,0.86938,0.48255,0.56497,0.92252,0.00201313,0.000671044,0.00201313,0.000671044,0.00201313,0.000671044,0.00201313,0.000671044
14,202.039,0.58615,0.76153,1.02931,0.96606,0.9556,0.98939,0.88269,0.47375,0.51556,0.91649,0.00190314,0.000634381,0.00190314,0.000634381,0.00190314,0.000634381,0.00190314,0.000634381
15,215.79,0.56788,0.75054,1.0192,0.96125,0.97563,0.99042,0.87913,0.45176,0.49897,0.91293,0.00179315,0.000597718,0.00179315,0.000597718,0.00179315,0.000597718,0.00179315,0.000597718
16,229.347,0.56642,0.71892,1.01967,0.95733,0.96249,0.9869,0.88331,0.44664,0.49151,0.90328,0.00168316,0.000561055,0.00168316,0.000561055,0.00168316,0.000561055,0.00168316,0.000561055
17,243.123,0.56275,0.71817,1.01841,0.96704,0.97473,0.98911,0.8776,0.44313,0.49746,0.89849,0.00157318,0.000524392,0.00157318,0.000524392,0.00157318,0.000524392,0.00157318,0.000524392
18,256.85,0.55554,0.69622,1.01129,0.96183,0.97166,0.98877,0.88944,0.44814,0.49565,0.89738,0.00146319,0.000487729,0.00146319,0.000487729,0.00146319,0.000487729,0.00146319,0.000487729
19,270.545,0.55177,0.683,1.00496,0.97115,0.96312,0.98454,0.88698,0.45636,0.49397,0.90697,0.0013532,0.000451066,0.0013532,0.000451066,0.0013532,0.000451066,0.0013532,0.000451066
20,284.325,0.55586,0.67259,1.00656,0.9654,0.96374,0.98534,0.88782,0.45459,0.48218,0.90557,0.00124321,0.000414403,0.00124321,0.000414403,0.00124321,0.000414403,0.00124321,0.000414403
21,300.668,0.4229,0.72805,0.9165,0.96588,0.95437,0.98691,0.87376,0.48024,0.58018,0.92225,0.00113322,0.00037774,0.00113322,0.00037774,0.00113322,0.00037774,0.00113322,0.00037774
