epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,538.962,1.95172,1.27836,1.37583,0.77211,0.67065,0.75493,0.37218,1.81672,0.90442,1.13142,0.00199848,0.000666159,0.00199848,0.000666159,0.00199848,0.000666159,0.00199848,0.000666159
2,1021.59,1.63818,0.86852,1.15951,0.80698,0.71085,0.79721,0.41162,1.72163,0.85053,1.08458,0.00373458,0.00124486,0.00373458,0.00124486,0.00373458,0.00124486,0.00373458,0.00124486
3,1486.47,1.56466,0.82014,1.11279,0.82088,0.72392,0.81209,0.41525,1.73984,0.8386,1.07554,0.00520668,0.00173556,0.00520668,0.00173556,0.00520668,0.00173556,0.00520668,0.00173556
4,1945.28,1.52544,0.79115,1.08786,0.83089,0.74089,0.82761,0.43909,1.67033,0.81765,1.05693,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
5,2402.38,1.49326,0.77049,1.0721,0.83546,0.74039,0.82936,0.44906,1.63158,0.81837,1.04271,0.004416,0.001472,0.004416,0.001472,0.004416,0.001472,0.004416,0.001472
6,2802.36,1.42315,0.74572,1.06627,0.83887,0.7528,0.83723,0.44927,1.63221,0.80942,1.03813,0.00402,0.00134,0.00402,0.00134,0.00402,0.00134,0.00402,0.00134
7,3198.45,1.40785,0.73151,1.05737,0.8448,0.75529,0.83778,0.45111,1.64399,0.79237,1.03972,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
8,3594.2,1.39574,0.72189,1.05099,0.84664,0.75932,0.84021,0.44387,1.68159,0.7948,1.04105,0.003228,0.001076,0.003228,0.001076,0.003228,0.001076,0.003228,0.001076
9,3990.78,1.38717,0.71491,1.04601,0.85004,0.75819,0.84393,0.45511,1.63013,0.7835,1.03063,0.002832,0.000944,0.002832,0.000944,0.002832,0.000944,0.002832,0.000944
10,4387.4,1.37792,0.70786,1.04131,0.85218,0.76377,0.84659,0.45907,1.63306,0.78107,1.02827,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
11,4783.53,1.3689,0.70182,1.03713,0.85205,0.76833,0.85015,0.46214,1.62464,0.77692,1.02435,0.00204,0.00068,0.00204,0.00068,0.00204,0.00068,0.00204,0.00068
12,5179.94,1.3651,0.69731,1.0329,0.85407,0.76435,0.85003,0.46642,1.60356,0.77219,1.02004,0.001644,0.000548,0.001644,0.000548,0.001644,0.000548,0.001644,0.000548
13,5575.8,1.35756,0.69236,1.02974,0.85397,0.76657,0.85022,0.47026,1.58947,0.77175,1.0167,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
14,5969.94,1.35052,0.68726,1.02681,0.85601,0.76941,0.85197,0.46642,1.61082,0.76906,1.01925,0.000852,0.000284,0.000852,0.000284,0.000852,0.000284,0.000852,0.000284
15,6364.54,1.34891,0.68437,1.02412,0.85674,0.77139,0.85351,0.4703,1.60108,0.76735,1.01662,0.000456,0.000152,0.000456,0.000152,0.000456,0.000152,0.000456,0.000152
